"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
394599,2015-12-31,"Fond du Lac, WI","WI",319,119400,-0.0025062656641604,-0.00830564784053156,-0.075135553834237,-0.0021652435088565,0.000335908945492402,"2007-01","2007-Q1",131200,-0.0899390243902439,"2006-01"
394709,2015-12-31,"Ithaca, NY","NY",320,192500,0,-0.000519210799584631,0.0283119658119658,0.0334600079032212,0.0258528469011505,"2015-10","2015-Q4",192600,-0.000519210799584631,"2015-10"
394340,2015-12-31,"Ashtabula, OH","OH",321,83000,0.00362756952841596,0.0159118727050184,0.0323383084577114,-0.00732419987798971,-0.0117622435754565,"2006-12","2006-Q4",95900,-0.13451511991658,"2002-12"
395168,2015-12-31,"Tullahoma, TN","TN",322,123000,0.00244498777506112,0.00985221674876847,0.0548885077186964,0.0252373725125909,0.0197179699913828,"2015-12","2015-Q4",123000,0,"2015-12"
394302,2015-12-31,"Adrian, MI","MI",323,116600,0.000858369098712446,0.00690846286701209,0.0457399103139013,0.0545231340038401,-0.0139777835999561,"2005-06","2005-Q2",137700,-0.153231663035585,"2001-05"
395173,2015-12-31,"Twin Falls, ID","ID",324,145000,0.00207325501036628,0.0118632240055827,0.0312944523470839,0.0143944087395906,,"2006-08","2006-Q3",184700,-0.214943151055766,
394501,2015-12-31,"Corning, NY","NY",325,85300,0.00471142520612485,0.019115890083632,0.0364520048602673,0.00892998907199627,0.0184233134216611,"2013-10","2013-Q4",90100,-0.0532741398446171,"2012-06"
395080,2015-12-31,"Sebring, FL","FL",326,93600,0.0118918918918919,0.0411568409343715,0.134545454545455,0.0175545771755876,-0.0477392767238466,"2006-07","2006-Q3",165800,-0.43546441495778,"2004-08"
395166,2015-12-31,"Truckee, CA","CA",327,380200,0.00316622691292876,0.0109013560223345,0.0225927918235611,0.0393881377905065,-0.0258775071212406,"2006-03","2006-Q1",499400,-0.23868642370845,"2004-07"
395090,2015-12-31,"Shelby, NC","NC",328,94700,0.00211640211640212,0.0128342245989305,0.0338427947598253,0.0251615968479564,0.000210770442925723,"2007-10","2007-Q4",96700,-0.0206825232678387,"2007-05"
